,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
48,17.0,4.0,4.0,4.0,1.0,5.0,34.0,42.0,70.0,98.0,138.0,158.0,166.0,162.0,172.0,142.0,148.0,103.0,95.0,70.0,39.0,24.0,21.0,24.0
49,53.0,17.0,18.0,7.0,6.0,5.0,6.0,38.0,61.0,108.0,142.0,258.0,261.0,246.0,264.0,266.0,339.0,284.0,217.0,173.0,106.0,120.0,114.0,82.0
50,22.0,3.0,0.0,2.0,1.0,2.0,2.0,25.0,19.0,56.0,68.0,132.0,97.0,136.0,83.0,89.0,78.0,62.0,42.0,47.0,38.0,17.0,24.0,19.0
51,31.0,12.0,7.0,4.0,1.0,10.0,21.0,27.0,59.0,125.0,147.0,183.0,194.0,207.0,204.0,162.0,160.0,151.0,156.0,124.0,108.0,84.0,64.0,33.0
52,84.0,73.0,27.0,6.0,6.0,9.0,32.0,96.0,107.0,190.0,264.0,388.0,345.0,367.0,409.0,375.0,299.0,319.0,326.0,205.0,219.0,233.0,146.0,157.0
53,58.0,34.0,29.0,19.0,14.0,10.0,44.0,43.0,73.0,221.0,207.0,237.0,285.0,271.0,219.0,184.0,212.0,135.0,154.0,127.0,115.0,70.0,64.0,64.0
54,27.0,11.0,5.0,6.0,5.0,8.0,11.0,26.0,57.0,79.0,140.0,149.0,197.0,142.0,188.0,129.0,143.0,131.0,106.0,94.0,73.0,49.0,40.0,29.0
55,4.0,5.0,2.0,1.0,7.0,2.0,2.0,16.0,17.0,16.0,29.0,69.0,52.0,64.0,79.0,53.0,51.0,56.0,45.0,45.0,45.0,48.0,24.0,3.0
56,50.0,28.0,27.0,14.0,7.0,17.0,38.0,78.0,201.0,303.0,336.0,412.0,411.0,378.0,386.0,342.0,334.0,288.0,306.0,214.0,156.0,102.0,70.0,67.0
57,24.0,6.0,5.0,0.0,0.0,11.0,6.0,15.0,35.0,75.0,113.0,155.0,183.0,182.0,208.0,205.0,228.0,184.0,139.0,130.0,100.0,61.0,32.0,31.0
58,31.0,20.0,16.0,3.0,4.0,3.0,15.0,44.0,100.0,158.0,204.0,292.0,410.0,408.0,400.0,438.0,290.0,338.0,247.0,196.0,171.0,88.0,61.0,67.0
59,87.0,70.0,33.0,12.0,8.0,13.0,34.0,106.0,184.0,307.0,413.0,484.0,485.0,540.0,489.0,458.0,408.0,426.0,371.0,331.0,193.0,202.0,158.0,77.0
60,53.0,29.0,34.0,10.0,7.0,5.0,11.0,29.0,81.0,129.0,131.0,224.0,275.0,294.0,332.0,311.0,284.0,272.0,229.0,193.0,127.0,98.0,75.0,46.0
