id,latitude,longitude,station_name,total_docks
476,41.966686362,-87.708051981,Kedzie Ave & Leland Ave,15
477,41.966317529,-87.701082677,Manor Ave & Leland Ave,11
478,41.96590014,-87.693638494,Rockwell St & Eastwood Ave,15
479,41.961154076,-87.716569073,Drake Ave & Montrose Ave,11
480,41.961041,-87.705866,Albany (Kedzie) Ave & Montrose Ave,15
481,41.961068,-87.695439,California Ave & Montrose Ave,15
482,41.961525933,-87.691165041,Campbell Ave & Montrose Ave,15
483,41.953393,-87.732002,Avondale Ave & Irving Park Rd,19
484,41.954004839,-87.71912818,Monticello Ave & Irving Park Rd,15
485,41.953586179,-87.7093108,Sawyer Ave & Irving Park Rd,15
486,41.954340852,-87.686079624,Oakley Ave & Irving Park Rd,15
487,41.952162193,-87.698051113,California Ave & Byron St,19
488,41.945636441,-87.727736814,Pulaski Rd & Eddy St,15
489,41.946781849,-87.716421522,Drake Ave & Addison St,23
490,41.945243568,-87.706649901,Troy St & Elston Ave,15
491,41.946635831,-87.694614758,Talman Ave & Addison St,15
492,41.94702904,-87.683367214,Leavitt St & Addison St,15
493,41.943026165,-87.687394535,Western Ave & Roscoe St,15
494,41.982397085,-87.70892252,Kedzie Ave & Bryn Mawr Ave,15
495,41.961108016,-87.728970101,Keystone Ave & Montrose Ave,15
496,41.939448392,-87.723553833,Avers Ave & Belmont Ave,19
497,41.939398,-87.711561,Kimball Ave & Belmont Ave,23
498,41.938428791,-87.698007756,California Ave & Fletcher St,19
499,41.930585371,-87.723777364,Kosciuszko Park,15
500,41.935337283,-87.716889294,Central Park Ave & Elbridge Ave,15
501,41.931901969,-87.70119513,Richmond St & Diversey Ave,15
502,41.926618,-87.697899,California Ave & Altgeld St,19
503,41.924398819,-87.715441036,Drake Ave & Fullerton Ave,15
504,41.924632472,-87.689307006,Campbell Ave & Fullerton Ave,15
505,41.92409085,-87.676460075,Winchester Ave & Elston Ave,15
