,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
100,28,10,7,1,4,89,1105,2946,7219,3561,1014,993,1279,1022,683,642,824,1235,805,386,234,186,120,65
101,2,0,0,0,0,0,2,9,16,22,30,29,42,33,51,31,32,40,40,38,24,12,3,0
102,0,0,1,1,1,0,0,1,4,7,7,13,10,9,13,8,8,8,11,9,8,8,3,5
103,4,0,0,0,0,5,111,137,435,142,113,133,123,108,111,149,185,237,191,133,55,33,18,16
106,54,22,15,2,9,237,785,588,851,585,304,354,434,374,333,453,687,1102,760,479,300,233,183,120
107,40,32,23,7,3,73,155,584,1270,734,209,213,270,274,232,266,433,897,550,404,317,319,195,121
108,12,3,4,4,36,251,253,390,537,615,581,438,483,411,394,440,585,837,672,568,273,159,81,31
109,11,17,11,8,4,6,91,478,733,627,333,279,295,326,311,230,289,385,270,113,91,50,47,24
110,78,35,15,11,2,346,667,1499,2355,577,391,782,985,850,782,1029,1895,2752,1978,1310,801,486,336,179
111,19,6,2,1,10,42,147,1051,1580,706,255,274,341,390,286,260,553,780,526,290,249,150,93,50
112,33,4,1,1,4,45,147,464,1013,712,431,676,726,575,534,565,822,1492,1173,748,449,256,145,68
113,74,25,3,0,5,65,289,574,781,207,206,244,324,371,329,444,669,1222,1099,916,613,387,327,180
114,62,23,18,14,9,99,299,353,692,295,325,383,709,868,607,530,615,765,1383,956,522,332,229,147
115,162,20,10,0,3,30,719,1812,1017,342,166,197,206,193,212,214,316,693,837,722,484,349,244,118
116,53,21,12,9,10,54,371,579,613,144,155,135,128,135,162,235,403,791,626,429,302,214,127,95
117,74,48,36,14,8,83,768,1294,1225,508,267,366,398,365,403,360,692,1165,1416,1128,724,576,384,234
118,46,26,23,8,11,117,170,634,827,407,184,207,263,257,337,331,742,1195,1381,808,455,259,239,126
119,5,2,1,1,4,16,45,215,425,266,88,88,111,103,123,118,289,569,386,194,122,82,33,16
120,25,11,7,3,2,10,19,57,302,198,144,196,282,256,227,233,310,462,424,308,208,159,152,71
121,13,3,1,3,0,4,11,23,66,51,42,60,84,79,79,100,132,272,235,142,120,94,47,27
122,1,3,0,0,12,12,67,253,454,195,90,82,79,60,45,39,114,190,75,37,20,12,16,11
123,65,22,20,30,8,60,343,902,1367,227,185,166,174,242,161,196,279,600,679,514,333,291,209,125
124,12,10,10,2,2,1,3,15,41,19,22,51,55,58,66,68,124,228,114,128,77,71,43,30
125,24,20,8,4,2,14,540,1468,3443,1937,472,385,476,435,361,418,811,940,589,353,249,157,105,52
126,49,13,3,8,5,28,48,300,197,238,211,324,407,451,429,445,621,1125,1185,667,406,289,195,105
127,45,31,7,7,43,105,110,264,466,257,217,252,272,357,327,317,498,935,1141,685,365,316,233,141
128,71,17,1,4,3,13,67,100,277,180,183,299,396,351,346,407,646,1396,855,613,440,262,195,102
