,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
74,8.0,11.0,8.0,5.0,15.0,284.0,1012.0,2085.0,1766.0,818.0,455.0,487.0,588.0,587.0,574.0,567.0,1269.0,2626.0,1370.0,789.0,435.0,227.0,144.0,64.0
75,20.0,5.0,1.0,1.0,1.0,265.0,1204.0,3512.0,3372.0,923.0,384.0,604.0,565.0,420.0,362.0,720.0,1578.0,3775.0,1514.0,577.0,209.0,135.0,50.0,42.0
76,113.0,45.0,16.0,14.0,3.0,29.0,114.0,322.0,546.0,791.0,1594.0,2064.0,2324.0,2565.0,2757.0,2702.0,2797.0,2841.0,2210.0,1539.0,1046.0,788.0,471.0,276.0
77,76.0,21.0,10.0,14.0,10.0,118.0,2574.0,5883.0,7104.0,2070.0,695.0,924.0,1079.0,1177.0,1082.0,1421.0,3422.0,6300.0,3425.0,1550.0,658.0,431.0,240.0,131.0
80,10.0,4.0,6.0,0.0,8.0,250.0,940.0,1161.0,1363.0,436.0,189.0,248.0,364.0,267.0,211.0,198.0,435.0,873.0,716.0,415.0,295.0,151.0,72.0,45.0
81,44.0,13.0,7.0,2.0,11.0,95.0,362.0,439.0,918.0,653.0,763.0,1071.0,1276.0,1190.0,1026.0,1317.0,3793.0,9475.0,3273.0,978.0,561.0,353.0,278.0,193.0
84,70.0,22.0,25.0,11.0,5.0,144.0,501.0,1059.0,1667.0,669.0,203.0,268.0,373.0,349.0,290.0,358.0,551.0,1267.0,976.0,549.0,324.0,244.0,158.0,122.0
85,98.0,36.0,26.0,13.0,8.0,52.0,248.0,505.0,839.0,915.0,1283.0,1456.0,1560.0,1575.0,1815.0,2188.0,2685.0,3053.0,2129.0,1244.0,777.0,495.0,303.0,188.0
86,17.0,9.0,3.0,0.0,1.0,89.0,291.0,525.0,816.0,400.0,174.0,193.0,196.0,171.0,163.0,149.0,133.0,290.0,322.0,291.0,186.0,162.0,93.0,32.0
87,51.0,14.0,13.0,3.0,7.0,156.0,315.0,498.0,289.0,147.0,140.0,211.0,237.0,208.0,212.0,241.0,370.0,590.0,682.0,466.0,283.0,215.0,130.0,53.0
88,17.0,6.0,2.0,2.0,2.0,45.0,109.0,338.0,928.0,266.0,138.0,150.0,169.0,310.0,150.0,189.0,333.0,684.0,721.0,355.0,189.0,144.0,138.0,70.0
89,7.0,3.0,3.0,6.0,1.0,74.0,1742.0,2335.0,1760.0,601.0,167.0,248.0,298.0,315.0,167.0,700.0,1091.0,1175.0,579.0,246.0,97.0,274.0,56.0,26.0
90,113.0,52.0,23.0,16.0,15.0,38.0,49.0,203.0,395.0,610.0,815.0,1098.0,1364.0,1542.0,1650.0,1730.0,2223.0,3571.0,2077.0,1444.0,1033.0,760.0,509.0,299.0
