id,address,docks_in_service,latitude,longitude,station_name,total_docks,num_trips_to,num_trips_from
540,Laramie Ave & Madison St,13,41.880207,-87.755337,Laramie Ave & Madison St,15,54,58
541,Central Ave & Harrison St,15,41.872993,-87.764499,Central Ave & Harrison St,15,93,91
542,Central Ave & Madison St,15,41.880121,-87.763238,Central Ave & Madison St,15,104,94
543,Laramie Ave & Gladys Ave,15,41.875806,-87.755285,Laramie Ave & Gladys Ave,15,140,127
544,Austin Blvd & Madison St,15,41.880281,-87.774453,Austin Blvd & Madison St,15,54,61
545,Kostner Ave & Adams St,15,41.877917,-87.735737,Kostner Ave & Adams St,15,67,70
546,Damen Ave & Pershing Rd,11,41.823192,-87.676597,Damen Ave & Pershing Rd,11,173,174
547,Ashland Ave & Pershing Rd,10,41.823465,-87.665577,Ashland Ave & Pershing Rd,11,224,177
548,Morgan St & Pershing Rd,11,41.823613,-87.650931,Morgan St & Pershing Rd,11,26,26
549,Marshfield Ave & 44th St,11,41.813996,-87.666589,Marshfield Ave & 44th St,11,39,35
550,Central Ave & Chicago Ave,11,41.894958,-87.764902,Central Ave & Chicago Ave,11,68,55
551,Hoyne Ave & 47th St,11,41.808227,-87.67718,Hoyne Ave & 47th St,11,183,126
552,Ashland Ave & McDowell Ave,11,41.80887,-87.66454,Ashland Ave & McDowell Ave,11,234,317
553,Elizabeth St & 47th St,11,41.80839,-87.656526,Elizabeth St & 47th St,11,83,99
554,Damen Ave & 51st St,11,41.800908,-87.674684,Damen Ave & 51st St,11,116,34
555,Ashland Ave & 50th St,11,41.803023,-87.664699,Ashland Ave & 50th St,11,51,55
556,Throop St & 52nd St,11,41.799659,-87.657195,Throop St & 52nd St,11,5,9
557,Seeley Ave & Garfield Blvd,11,41.794087,-87.675478,Seeley Ave & Garfield Blvd,11,9,8
558,Ashland Ave & Garfield Blvd,11,41.792822,-87.664429,Ashland Ave & Garfield Blvd,11,8,11
559,Racine Ave & Garfield Blvd,11,41.794228,-87.655073,Racine Ave & Garfield Blvd,11,25,27
560,Marshfield Ave & 59th St,11,41.786833,-87.666215,Marshfield Ave & 59th St,11,23,23
561,Damen Ave & 59th St,11,41.78602,-87.674167,Damen Ave & 59th St,11,33,33
562,Racine Ave & 61st St,11,41.783189,-87.654372,Racine Ave & 61st St,11,9,10
563,Ashland Ave & 63rd St,15,41.779374,-87.664843,Ashland Ave & 63rd St,15,50,66
564,Racine Ave & 65th St,11,41.775393,-87.654308,Racine Ave & 65th St,11,55,52
565,Ashland Ave & 66th St,11,41.774074,-87.663815,Ashland Ave & 66th St,11,4,4
566,Ashland Ave & 69th St,11,41.768726,-87.664069,Ashland Ave & 69th St,11,28,26
567,May St & 69th St,11,41.768938,-87.652934,May St & 69th St,11,16,14
568,Normal Ave & 72nd St,11,41.763462,-87.637297,Normal Ave & 72nd St,11,21,23
569,Woodlawn Ave & 75th St,15,41.75916,-87.595751,Woodlawn Ave & 75th St,15,19,19
570,Evans Ave & 75th St,11,41.758308,-87.606685,Evans Ave & 75th St,11,362,336
571,Vernon Ave & 75th St,11,41.758361,-87.614138,Vernon Ave & 75th St,11,152,169
572,State St & 76th St,11,41.756971,-87.624621,State St & 76th St,11,114,121
573,State St & 79th St,14,41.750794,-87.624424,State St & 79th St,15,240,236
574,Eberhart (Vernon) Ave & 79th St,11,41.751345,-87.612568,Eberhart (Vernon) Ave & 79th St,11,97,112
575,Cottage Grove Ave & 78th St,11,41.753174,-87.605026,Cottage Grove Ave & 78th St,11,156,172
576,Greenwood Ave & 79th St,15,41.751294,-87.597552,Greenwood Ave & 79th St,15,102,95
577,Stony Island Ave & South Chicago Ave,11,41.751173,-87.585337,Stony Island Ave & South Chicago Ave,11,69,77
578,Bennett Ave & 79th St,11,41.751785,-87.578496,Bennett Ave & 79th St,11,66,70
579,Phillips Ave & 79th St,11,41.75182,-87.565211,Phillips Ave & 79th St,11,111,124
580,Exchange Ave & 79th St,15,41.751731,-87.552812,Exchange Ave & 79th St,15,242,244
583,Stony Island Ave & 82nd St,11,41.746559,-87.586005,Stony Island Ave & 82nd St,11,45,47
584,Ellis Ave & 83rd St,15,41.744123,-87.599034,Ellis Ave & 83rd St,15,24,24
585,Cottage Grove Ave & 83rd St,11,41.744053,-87.604786,Cottage Grove Ave & 83rd St,11,112,104
586,MLK Jr Dr & 83rd St,11,41.743116,-87.6148,MLK Jr Dr & 83rd St,11,53,37
587,Wabash Ave & 83rd St,11,41.743316,-87.622849,Wabash Ave & 83rd St,11,63,61
588,South Chicago Ave & 83rd St,11,41.743921,-87.575225,South Chicago Ave & 83rd St,11,24,22
589,Milwaukee Ave & Cuyler Ave,15,41.954468,-87.749594,Milwaukee Ave & Cuyler Ave,15,363,303
590,Kilbourn Ave & Irving Park Rd,15,41.953733,-87.740569,Kilbourn Ave & Irving Park Rd,15,548,667
591,Kilbourn Ave & Milwaukee Ave,23,41.948818,-87.74002,Kilbourn Ave & Milwaukee Ave,23,566,433
592,Knox Ave & Montrose Ave,15,41.960631,-87.745359,Knox Ave & Montrose Ave,15,354,413
593,Halsted St & 59th St,11,41.787539,-87.644874,Halsted St & 59th St,11,23,31
594,Western Blvd & 48th Pl,15,41.805661,-87.683392,Western Blvd & 48th Pl,15,80,169
595,Wabash Ave & 87th St,15,41.736646,-87.622634,Wabash Ave & 87th St,15,38,36
596,Benson Ave & Church St,15,42.048214,-87.683485,Benson Ave & Church St,15,5298,5233
597,Chicago Ave & Washington St,15,42.032562,-87.679101,Chicago Ave & Washington St,15,3049,3024
598,Elmwood Ave & Austin St,15,42.025784,-87.684107,Elmwood Ave & Austin St,15,707,583
599,Valli Produce - Evanston Plaza,15,42.039742,-87.699413,Valli Produce - Evanston Plaza,15,433,407
600,Dodge Ave & Church St,15,42.048308,-87.698224,Dodge Ave & Church St,15,865,932
601,Central St Metra,15,42.063598,-87.69873,Central St Metra,15,1122,1034
602,Central St & Girard Ave,15,42.064313,-87.686152,Central St & Girard Ave,15,1031,1055
603,Chicago Ave & Sheridan Rd,14,42.050491,-87.677821,Chicago Ave & Sheridan Rd,15,2565,2844
604,Sheridan Rd & Noyes St (NU),15,42.058239,-87.677432,Sheridan Rd & Noyes St (NU),15,3225,3152
605,University Library (NU),15,42.052939,-87.673447,University Library (NU),15,3263,3206
619,Keystone Ave & Fullerton Ave,15,41.924361,-87.727752,Keystone Ave & Fullerton Ave,15,789,720
620,Orleans St & Chestnut St (NEXT Apts),15,41.898203,-87.637536,Orleans St & Chestnut St (NEXT Apts),15,4509,4736
622,California Ave & Cortez St,15,41.900363,-87.696704,California Ave & Cortez St,15,2289,2091
623,Michigan Ave & 8th St,31,41.872773,-87.623981,Michigan Ave & 8th St,31,9559,9898
624,417 S Dearborn St,16,41.876268,-87.629155,Dearborn St & Van Buren St (*),16,1675,1838
625,Chicago Ave & Dempster St,15,42.041691,-87.680687,Chicago Ave & Dempster St,15,682,719
626,Delano Ct & Roosevelt Rd,19,41.867491,-87.63219,Delano Ct & Roosevelt Rd,19,24,27
