id,address,docks_in_service,latitude,longitude,station_name,total_docks,num_trips_to,num_trips_from
292,Southport Ave & Clark St,11,41.957081,-87.664199,Southport Ave & Clark St,11,2624,2919
293,Broadway & Wilson Ave,15,41.965221,-87.658139,Broadway & Wilson Ave,15,4701,4274
294,Broadway & Berwyn Ave,15,41.978353,-87.659753,Broadway & Berwyn Ave,15,6158,5745
295,Broadway & Argyle St,15,41.973815,-87.65966,Broadway & Argyle St,15,4304,3954
296,Broadway & Belmont Ave,19,41.940106,-87.645451,Broadway & Belmont Ave,19,12394,10560
297,Paulina St & Montrose Ave,15,41.961507,-87.671387,Paulina St & Montrose Ave,15,2350,2409
298,Lincoln Ave & Belle Plaine Ave,15,41.955927,-87.679259,Lincoln Ave & Belle Plaine Ave,15,4743,4360
299,Halsted St & Roscoe St,15,41.94367,-87.64895,Halsted St & Roscoe St,15,10951,10926
300,Broadway & Barry Ave,18,41.937725,-87.644095,Broadway & Barry Ave,19,17412,16342
301,Clark St & Schiller St,19,41.907993,-87.631501,Clark St & Schiller St,19,12351,13252
302,Sheffield Ave & Wrightwood Ave,17,41.928712,-87.653833,Sheffield Ave & Wrightwood Ave,19,7803,7785
303,Broadway & Cornelia Ave,23,41.945529,-87.646439,Broadway & Cornelia Ave,23,10823,10426
304,Broadway & Waveland Ave,15,41.949074,-87.648636,Broadway & Waveland Ave,15,8628,8453
305,Western Ave & Division St,15,41.902893,-87.687275,Western Ave & Division St,15,4832,4757
306,Sheridan Rd & Buena Ave,19,41.958494,-87.654966,Sheridan Rd & Buena Ave,19,5434,5472
307,Southport Ave & Clybourn Ave,15,41.920771,-87.663712,Southport Ave & Clybourn Ave,15,7063,6499
308,Seeley Ave & Roscoe St,11,41.943403,-87.679618,Seeley Ave & Roscoe St,11,3786,3661
309,Leavitt St & Armitage Ave,11,41.917805,-87.682437,Leavitt St & Armitage Ave,11,3908,4295
310,Damen Ave & Charleston St,11,41.920082,-87.677855,Damen Ave & Charleston St,11,3973,3954
311,Leavitt St & Lawrence Ave,19,41.968885,-87.684001,Leavitt St & Lawrence Ave,19,2953,3096
312,Clarendon Ave & Gordon Ter,14,41.957879,-87.649519,Clarendon Ave & Gordon Ter,15,8030,7923
313,Lakeview Ave & Fullerton Pkwy,19,41.925858,-87.638973,Lakeview Ave & Fullerton Pkwy,19,14807,14476
314,Ravenswood Ave & Berteau Ave,14,41.957921,-87.673567,Ravenswood Ave & Berteau Ave,15,4028,4195
315,Elston Ave & Wabansia Ave,23,41.912919,-87.664169,Elston Ave & Wabansia Ave,23,4013,3847
316,Damen Ave & Sunnyside Ave,18,41.96325,-87.679258,Damen Ave & Sunnyside Ave,19,2740,2504
317,Wood St & Taylor St,22,41.869154,-87.671045,Wood St & Taylor St,23,6616,6716
318,Southport Ave & Irving Park Rd,15,41.954177,-87.664358,Southport Ave & Irving Park Rd,15,5513,5684
319,Greenview Ave & Diversey Pkwy,15,41.932595,-87.665939,Greenview Ave & Diversey Pkwy,15,3778,3663
320,Loomis St & Lexington St,19,41.872187,-87.661501,Loomis St & Lexington St,19,11871,12373
321,Wabash Ave & 9th St,19,41.870769,-87.625734,Wabash Ave & 9th St,19,11301,11401
322,Kimbark Ave & 53rd St,18,41.799568,-87.594747,Kimbark Ave & 53rd St,19,6868,6682
323,Sheridan Rd & Lawrence Ave,15,41.969517,-87.654691,Sheridan Rd & Lawrence Ave,15,3542,3465
324,Stockton Dr & Wrightwood Ave,14,41.93132,-87.638742,Stockton Dr & Wrightwood Ave,15,8989,8587
325,Clark St & Winnemac Ave,18,41.973345,-87.667682,Clark St & Winnemac Ave,19,6322,6448
326,Clark St & Leland Ave,19,41.967096,-87.667429,Clark St & Leland Ave,19,4120,4227
